sample,data
1,1.575
2,1.565
3,1.537
4,1.557
5,1.635
6,1.609
7,1.636
8,1.640
9,1.635
10,1.553
11,1.593
12,1.582
13,1.554
14,1.607
15,1.587
16,1.597
17,1.618
18,1.618
19,1.569
20,1.612
21,1.610
22,1.584
23,1.570
24,1.566
25,1.482
26,1.765
27,1.628
28,1.571
29,1.595
30,1.603
31,1.594
32,1.633
33,1.751
34,1.704
35,1.639
36,1.669
37,1.627
38,1.573
39,1.572
40,1.511
41,1.573
42,1.587
43,1.582
44,1.598
45,1.611
46,1.602
47,1.582
48,1.611
49,1.577
50,1.575
51,1.603
52,1.578
53,1.580
54,1.619
55,1.651
56,1.587
57,1.623
58,1.660
59,1.565
60,1.606
61,1.575
62,1.582
63,1.633
64,1.669
65,1.686
66,1.713
67,1.648
68,1.539
69,1.536
70,1.547
71,1.524
72,1.570
73,1.590
74,1.571
75,1.622
76,1.605
77,1.577
78,1.631
79,1.627
80,1.604
81,1.617
82,1.637
83,1.565
84,1.595
85,1.609
86,1.632
87,1.671
88,1.710
89,1.613
90,1.607
91,1.582
92,1.551
93,1.548
94,1.594
95,1.523
96,1.531
97,1.592
98,1.623
99,1.665
100,1.718
101,1.650
102,1.622
103,1.610
104,1.561
105,1.602
106,1.585
107,1.551
108,1.565
109,1.584
110,1.561
111,1.552
112,1.634
113,1.593
114,1.562
115,1.621
116,1.609
117,1.599
118,1.619
119,1.616
120,1.585
121,1.644
122,1.631
123,1.611
124,1.703
125,1.668
126,1.600
127,1.602
128,1.568
129,1.550
130,1.583
131,1.573
132,1.572
133,1.607
134,1.607
135,1.574
136,1.597
137,1.608
138,1.590
139,1.632
140,1.620
141,1.573
142,1.635
143,1.623
144,1.586
145,1.610
146,1.650
147,1.725
148,1.599
149,1.615
150,1.579
151,1.576
152,1.607
153,1.577
154,1.623
155,1.636
156,1.574
157,1.606
158,1.631
159,1.594
160,1.575
161,1.615
162,1.597
163,1.604
164,1.614
165,1.574
166,1.636
167,1.726
168,1.690
169,1.658
170,1.656
171,1.615
172,1.584
173,1.609
174,1.575
175,1.534
176,1.585
177,1.556
178,1.590
179,1.619
180,1.585
181,1.569
182,1.588
183,1.557
184,1.575
185,1.597
186,1.580
187,1.586
188,1.621
189,1.615
190,1.578
191,1.630
192,1.603
193,1.577
194,1.606
195,1.599
196,1.586
197,1.614
198,1.602
199,1.609
200,1.706
201,1.669
202,1.667
203,1.666
204,1.577
205,1.573
206,1.626
207,1.580
208,1.540
209,1.600
210,1.551
211,1.544
212,1.592
213,1.557
214,1.587
215,1.602
216,1.596
217,1.692
218,1.650
219,1.595
220,1.578
221,1.619
222,1.608
223,1.594
224,1.635
225,1.642
226,1.573
227,1.615
228,1.606
229,1.563
230,1.617
231,1.632
232,1.595
233,1.611
234,1.616
235,1.582
236,1.574
237,1.610
238,1.597
239,1.645
240,1.620
241,1.569
242,1.620
243,1.606
244,1.560
245,1.608
246,1.609
247,1.563
248,1.592
249,1.632
250,1.607
251,1.650
252,1.718
253,1.711
254,1.719
255,1.682
256,1.604
257,1.590
258,1.589
259,1.540
260,1.539
261,1.577
262,1.543
263,1.548
264,1.602
265,1.600
266,1.596
267,1.644
268,1.594
269,1.575
270,1.608
271,1.594
272,1.585
273,1.630
274,1.586
275,1.602
276,1.638
277,1.629
278,1.584
279,1.621
280,1.752
281,1.617
282,1.637
283,1.651
284,1.627
285,1.644
286,1.623
287,1.586
288,1.590
289,1.616
290,1.565
291,1.590
292,1.608
293,1.607
294,1.570
295,1.628
296,1.610
297,1.574
298,1.622
299,1.560
300,1.594
301,1.623
302,1.611
303,1.591
304,1.633
305,1.606
306,1.577
307,1.669
308,1.610
309,1.573
310,1.616
311,1.598
312,1.574
313,1.599
314,1.612
315,1.569
316,1.628
317,1.617
318,1.564
319,1.641
320,1.598
321,1.597
322,1.619
323,1.644
324,1.577
325,1.596
326,1.608
327,1.600
328,1.631
329,1.626
330,1.641
331,1.636
332,1.619
333,1.587
334,1.573
335,1.602
336,1.576
337,1.550
338,1.598
339,1.590
340,1.574
341,1.627
342,1.602
343,1.617
344,1.644
345,1.631
346,1.645
347,1.651
348,1.628
349,1.591
350,1.594
351,1.608
352,1.565
353,1.579
354,1.626
355,1.570
356,1.642
357,1.633
358,1.569
359,1.582
360,1.603
361,1.577
362,1.602
363,1.602
364,1.582
365,1.618
366,1.644
367,1.588
368,1.609
369,1.643
370,1.593
371,1.600
372,1.623
373,1.596
374,1.588
375,1.628
376,1.587
377,1.569
378,1.611
379,1.605
380,1.599
381,1.610
382,1.613
383,1.584
384,1.673
385,1.659
386,1.687
387,1.711
388,1.659
389,1.578
390,1.611
391,1.561
392,1.524
393,1.560
394,1.586
395,1.539
396,1.581
397,1.577
398,1.636
399,1.686
400,1.721
401,1.669
402,1.696
403,1.635
404,1.592
405,1.668
406,1.666
407,1.632
408,1.619
409,1.590
410,1.541
411,1.515
412,1.569
413,1.550
414,1.565
415,1.623
416,1.613
417,1.736
418,1.817
419,1.766
420,1.679
421,1.611
422,1.536
423,1.521
424,1.622
425,1.598
426,1.602
427,1.684
428,1.627
429,1.603
430,1.613
431,1.560
432,1.569
433,1.553
434,1.575
435,1.646
436,1.688
437,1.658
438,1.628
439,1.640
440,1.612
441,1.561
442,1.607
443,1.606
444,1.594
445,1.570
446,1.563
447,1.621
448,1.597
449,1.663
450,1.785
451,1.735
452,1.690
453,1.565
454,1.547
455,1.561
456,1.518
457,1.522
458,1.548
459,1.522
460,1.557
461,1.602
462,1.540
463,1.576
464,1.606
465,1.606
466,1.597
467,1.668
468,1.597
469,1.579
470,1.620
471,1.648
472,1.626
473,1.627
474,0.000
475,3.194
476,3.194
477,3.193
478,3.194
479,3.190
480,3.194
481,3.193
482,3.195
483,3.193
484,3.193
485,3.193
486,3.194
487,3.193
488,3.193
489,3.193
490,1.883
491,3.192
492,3.193
493,0.000
494,3.194
495,0.000
496,0.000
497,0.000
498,0.000
499,0.000
500,0.000
501,0.000
502,0.168
503,0.000
504,0.000
505,3.194
506,0.000
507,0.000
508,3.194
509,0.000
510,1.250
511,3.193
512,0.000
513,2.454
514,3.194
515,0.000
516,3.161
517,3.193
518,0.000
519,3.163
520,3.193
521,0.000
522,3.190
523,3.191
524,0.000
525,3.191
526,2.402
527,0.000
528,3.194
529,1.373
530,0.000
531,3.190
532,0.352
533,0.000
534,3.190
535,0.000
536,0.000
537,3.194
538,0.000
539,2.436
540,3.193
541,0.000
542,3.189
543,3.193
544,0.000
545,3.193
546,3.188
547,0.000
548,3.193
549,1.922
550,0.000
551,3.194
552,1.026
553,0.000
554,3.194
555,0.155
556,0.000
557,3.194
